what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1462264579247
locale,sysinfo,,,"fr_FR",1462264579247
processors,sysinfo,,,"4",1462264579247
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1462264579247
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1462264579247
java.specification.name,sysinfo,,,"Java Platform API Specification",1462264579247
java.specification.vendor,sysinfo,,,"Oracle Corporation",1462264579247
java.specification.version,sysinfo,,,"1.7",1462264579247
java.vendor,sysinfo,,,"Oracle Corporation",1462264579247
java.version,sysinfo,,,"1.7.0_25",1462264579247
java.vm.info,sysinfo,,,"mixed mode",1462264579247
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1462264579247
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1462264579247
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1462264579247
java.vm.specification.version,sysinfo,,,"1.7",1462264579247
java.vm.vendor,sysinfo,,,"Oracle Corporation",1462264579247
java.vm.version,sysinfo,,,"23.25-b01",1462264579247
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1462264579346
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1462264579346
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1462264579505
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1462264579576
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1462264579651
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1462264579713
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1462264579722
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1462264579802
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1462264580178
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1462264580218
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1462264580551
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1462264580735
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20101001-2300,"org.eclipse.php.debug.daemon",1462264580822
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1462264580863
started,bundle,org.eclipse.php.server.core,2.2.0.v20101001-2300,"org.eclipse.php.server.core",1462264580955
started,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1462264581192
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1462264581195
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1462264581310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462264595871
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462264807273
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1462264833134
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1462264833686
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1462264833840
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1462264833849
